,b,B,v,V,g,G,d,D,5,z,Z,j,k,K,l,L,m,M,n,N,p,P,r,R,s,S,t,T,f,F,x,2,4,7
n,0,0,R,0,R,R,R,R,0,0,R,0,R,R,0,0,R,0,0,0,0,0,R,0,R,0,R,R,0,0,R,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0
p,0,0,0,M,0,0,0,0,0,0,0,0,0,0,R,M,0,0,M,M,0,0,R,R,R,R,M,M,R,R,R,0,M,R
P,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,0,R,R,0,0,0,R,R,0,R,0,0,0,0,0,0,0,0,0,0,R,0,0,0,R,R,R,0,0,0,R,0,R
R,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,R,0,0,0,0,0,0,0,0,M,R,R,R,0,R,0,R,0,R,0,M,M,R,0,R,0,R,0,R,R,0,0
S,0,0,0,R,0,0,0,0,0,0,0,R,0,0,0,R,0,R,0,R,0,R,M,M,0,M,0,R,0,R,0,M,0,0
t,0,0,M,M,0,0,0,0,0,0,0,0,M,M,M,M,M,M,0,M,0,M,R,R,0,M,0,0,0,0,R,0,0,R
T,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0
f,0,0,0,0,0,0,0,0,0,0,0,0,R,R,R,R,0,0,0,0,R,R,M,M,R,R,R,R,0,0,R,R,R,R
F,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0,0,R,M,0,0,0,0,0,0,0,R,0,0,R,R,R,R,M,0,0,0,R,M,0,0,0,M,0,0,0,0,0,R
2,0,0,M,R,R,0,0,0,0,R,R,0,M,0,0,0,0,R,R,0,0,0,M,M,0,0,0,0,0,0,R,0,0,0
4,0,0,R,M,0,0,0,0,R,0,0,R,M,0,M,R,R,0,0,0,R,0,0,M,0,0,0,R,0,0,R,0,0,0
